,Estado,Fecha,Camas,CamasCovid
45997,Nebraska,2022-07-23,3356.0,224.0
43828,Nevada,2022-07-23,6491.0,458.0
42324,Misuri,2022-07-23,13668.0,1050.0
38050,Maine,2022-07-23,2179.0,139.0
41468,Maryland,2022-07-23,9391.0,759.0
43837,Hawái,2022-07-23,2032.0,191.0
38826,Delaware,2022-07-23,2547.0,207.0
41471,Washington,2022-07-23,10099.0,878.0
44059,Pensilvania,2022-07-23,26747.0,1617.0
43103,Kentucky,2022-07-23,9123.0,677.0
44843,Minnesota,2022-07-23,7745.0,449.0
38803,Texas,2022-07-23,48742.0,3957.0
39411,Ohio,2022-07-23,21969.0,1458.0
37154,Montana,2022-07-23,2037.0,122.0
40049,Nueva Jersey,2022-07-23,16847.0,1085.0
39125,Arizona,2022-07-23,12419.0,807.0
36226,Nuevo Hampshire,2022-07-23,2269.0,108.0
34772,Míchigan,2022-07-23,17327.0,922.0
38448,Vermont,2022-07-23,971.0,27.0
41505,Puerto Rico,2022-07-23,5840.0,372.0
38083,Oklahoma,2022-07-23,7032.0,454.0
37973,California,2022-07-23,49594.0,5080.0
40530,Alabama,2022-07-23,10846.0,822.0
43063,Dakota del Norte,2022-07-23,1654.0,87.0
38881,Misisipi,2022-07-23,5549.0,436.0
37540,Kansas,2022-07-23,4887.0,265.0
42342,Idaho,2022-07-23,2201.0,176.0
43929,Tennessee,2022-07-23,14430.0,879.0
40960,Wyoming,2022-07-23,795.0,32.0
36133,Massachusetts,2022-07-23,15547.0,668.0
328,Islas Virgenes,2022-07-23,85.0,3.0
36211,Virginia Occidental,2022-07-23,4535.0,387.0
327,Samoa Estadounidense,2022-07-23,62.0,3.0
38845,Rhode Island,2022-07-23,2011.0,58.0
35442,Colorado,2022-07-23,7957.0,358.0
43665,Wisconsin,2022-07-23,8533.0,498.0
40096,Iowa,2022-07-23,4654.0,264.0
41424,Washington DC,2022-07-23,2655.0,200.0
44796,Connecticut,2022-07-23,6098.0,357.0
45094,Luisiana,2022-07-23,8603.0,547.0
34682,Carolina del Norte,2022-07-23,17896.0,1474.0
34538,Georgia,2022-07-23,17919.0,1766.0
45523,Virginia,2022-07-23,12840.0,851.0
36119,Florida,2022-07-23,45537.0,4257.0
46469,Dakota del Sur,2022-07-23,1460.0,59.0
35549,carolina del Sur,2022-07-23,8562.0,554.0
42307,Utah,2022-07-23,4475.0,227.0
46068,Illinois,2022-07-23,21169.0,1426.0
35611,Nueva York,2022-07-23,38163.0,3048.0
39960,Alaska,2022-07-23,1420.0,84.0
45899,Arkansas,2022-07-23,6328.0,466.0
36260,Indiana,2022-07-23,12231.0,774.0
34808,Oregón,2022-07-23,5222.0,525.0
40777,Nuevo México,2022-07-23,3049.0,222.0
39722,Idaho,2022-07-22,2296.0,175.0
36109,Misisipi,2022-07-22,5761.0,458.0
35055,Alabama,2022-07-22,11374.0,847.0
329,Samoa Estadounidense,2022-07-22,63.0,6.0
41507,Georgia,2022-07-22,18397.0,1823.0
42967,Nueva York,2022-07-22,39232.0,3115.0
45970,Washington,2022-07-22,10165.0,891.0
37694,Illinois,2022-07-22,21951.0,1439.0
330,Islas Virgenes,2022-07-22,85.0,2.0
34057,Nebraska,2022-07-22,3468.0,229.0
